Feature,Reg_Importance,Clf_Importance,Reg_Norm,Clf_Norm,Diff
T_0,0.00030002072426285245,0.0020357453109034447,0.00030002072426285245,0.0020357453109034447,0.0017357245866405923
T_1,0.0007529736781499034,0.0006828659845499727,0.0007529736781499034,0.0006828659845499727,-7.010769359993066e-05
T_2,0.0014846533942239472,0.00213347836122174,0.0014846533942239472,0.00213347836122174,0.0006488249669977927
T_3,0.00038867666839800975,0.0007655020817464634,0.00038867666839800975,0.0007655020817464634,0.0003768254133484536
S_0,0.0006905470917370402,0.0021932814377077312,0.0006905470917370402,0.0021932814377077312,0.001502734345970691
S_1,0.0005905073324403269,0.0016043815175303317,0.0005905073324403269,0.0016043815175303317,0.0010138741850900048
S_2,0.0004056181822342016,0.00022067403464801088,0.0004056181822342016,0.00022067403464801088,-0.0001849441475861907
S_3,0.00047836123117314113,0.0006223164407715544,0.00047836123117314113,0.0006223164407715544,0.00014395520959841325
M_0,0.0002486844009967635,0.00423732661139912,0.0002486844009967635,0.00423732661139912,0.003988642210402357
M_1,0.0003263098896054285,0.0004192494543001698,0.0003263098896054285,0.0004192494543001698,9.293956469474132e-05
M_2,0.00017458773955055838,0.0004491876806774327,0.00017458773955055838,0.0004491876806774327,0.0002745999411268743
M_3,0.0002738220341591035,6.424707788974692e-05,0.0002738220341591035,6.424707788974692e-05,-0.00020957495626935658
M_4,0.0002672271426920525,0.0002560694671023302,0.0002672271426920525,0.0002560694671023302,-1.115767558972227e-05
M_5,0.00013357278627945676,0.0003941228973381293,0.00013357278627945676,0.0003941228973381293,0.0002605501110586726
M_6,0.0003088804612688343,0.00042677554986361515,0.0003088804612688343,0.00042677554986361515,0.00011789508859478084
M_7,8.987944890728612e-05,0.00034700556389616566,8.987944890728612e-05,0.00034700556389616566,0.0002571261149888795
M_8,0.00011265274292854519,0.0007962200110500957,0.00011265274292854519,0.0007962200110500957,0.0006835672681215505
M_9,0.00014821760432336405,0.0006999626956970736,0.00014821760432336405,0.0006999626956970736,0.0005517450913737096
M_10,0.0001763037207918886,0.0006261148310152907,0.0001763037207918886,0.0006261148310152907,0.0004498111102234022
M_11,0.0001852315076858011,6.775629777918775e-05,0.0001852315076858011,6.775629777918775e-05,-0.00011747520990661334
SeatComfort,0.19765438358034568,0.19353788475552006,0.19765438358034568,0.19353788475552006,-0.004116498824825621
CabinStaff,0.11980896146311001,0.13800726534561805,0.11980896146311001,0.13800726534561805,0.018198303882508038
Ground,0.05992671061410607,0.07663326278200167,0.05992671061410607,0.07663326278200167,0.016706552167895593
Food,0.15245582396192106,0.16318512620324427,0.15245582396192106,0.16318512620324427,0.010729302241323208
Ent,0.0050548781748528445,0.022162570549194027,0.0050548781748528445,0.022162570549194027,0.017107692374341184
Value,0.4494028110002345,0.37653736640469654,0.4494028110002345,0.37653736640469654,-0.07286544459553795
Length,0.008159703423621406,0.010894240652637862,0.008159703423621406,0.010894240652637862,0.0027345372290164555
